"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "Ignore", "HTML", "comment", "blank", "total"
"c:\Users\zackm\FullStackTuts\MERN-Blog\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\zackm\FullStackTuts\MERN-Blog\MERN-Blog.md", "Markdown", 0, 75, 0, 0, 0, 0, 0, 0, 25, 100
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\controllers\auth.controller.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 0, 12, 106
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\controllers\user.controller.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 4, 65
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\index.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\models\user.model.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\routes\auth.route.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\routes\user.route.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\utils\error.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\zackm\FullStackTuts\MERN-Blog\api\utils\verifyUser.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\.eslintrc.cjs", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\package-lock.json", "JSON", 6073, 0, 0, 0, 0, 0, 0, 0, 1, 6074
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\components\DashProfile.jsx", "JavaScript JSX", 0, 0, 0, 204, 0, 0, 0, 2, 7, 213
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\components\DashSidebar.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 2, 92
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 2, 108
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\components\OAuth.jsx", "JavaScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 3, 50
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\components\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\components\ThemeProvider.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 1, 2, 14
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\firebase.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 8, 3, 22
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\index.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 2, 2, 27
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\pages\Projects.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\pages\Signin.jsx", "JavaScript JSX", 0, 0, 0, 123, 0, 0, 0, 2, 2, 127
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 126, 0, 0, 0, 2, 2, 130
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\redux\store.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\redux\theme\themeSlice.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\src\redux\user\userSlice.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\tailwind.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 3, 1, 15
"c:\Users\zackm\FullStackTuts\MERN-Blog\client\vite.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\zackm\FullStackTuts\MERN-Blog\package-lock.json", "JSON", 1359, 0, 0, 0, 0, 0, 0, 0, 1, 1360
"c:\Users\zackm\FullStackTuts\MERN-Blog\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 7492, 80, 400, 826, 3, 1, 17, 21, 129, 8969